Protein_Group	Genes	SAX_72001_M1_vs_RAW_72001_M1_logFC	SAX_72001_M1_vs_RAW_72001_M1_pval	Removed?	Contaminant?
A0A075B6K4	IGLV3-10	2.2784177431552	9.34524954509428e-07	No	No
A0A075B6S2	IGKV2D-29	2.24662132864465	8.53782612177965e-05	No	No
A0A0A0MTA3	IGKJ5	7.72735397356255	1.46749646090796e-16	No	No
A0A0C4DH33	IGHV1-24	3.85645054885867	2.794727307352e-12	No	No
A0A0G2JMI3	IGHV1-69-2	5.29020174313202	1.48318850204627e-17	No	No
A0A1B0GTC6	C3orf85	5.619155843444	2.44819905121179e-19	No	No
A0AVT1	UBA6	8.32734905294735	8.54397346297473e-19	No	No
A0FGR8	ESYT2	9.8197673263226	4.1478527810699305e-25	No	No
A0MZ66	SHTN1	2.85246022644109	2.25433740838463e-06	No	No
A1A4S6	ARHGAP10	8.27923426455158	1.25433467636251e-21	No	No
A1A5C7	SLC22A23	2.73180837384708	1.11221641619971e-06	No	No
A1L0T0	ILVBL	6.40236139822844	8.365799470528099e-13	No	No
A1L3X0	ELOVL7	4.50273009766467	4.80160252681741e-13	No	No
A1X283	SH3PXD2B	11.7636517881639	9.36951449740587e-33	No	No
A2A2Y4	FRMD3	5.03510971985781	4.33577381450968e-07	No	No
A2RRP1	NBAS	8.09360766620373	2.7868792506919303e-14	No	No
A2RTX5	TARS3	4.19295737768711	7.2642764648084e-11	No	No
A2RUS2	DENND3	9.97652051609119	9.257671942629059e-22	No	No
A3KMH1	VWA8	4.42875372534144	7.70735173802665e-07	No	No
A4D1B5	GSAP	5.71690965857301	1.41533112141036e-22	No	No
A4D1P6	WDR91	3.62902812256914	6.79735886140258e-09	No	No
A4UGR9	XIRP2	5.95392477664845	7.3050072902364e-18	No	No
A5D8V6	VPS37C	5.28556423489269	2.39268022703589e-19	No	No
A5PLN9	TRAPPC13	2.80140454108549	1.21590139202472e-09	No	No
A5YKK6	CNOT1	6.84777657070352	5.41773357024878e-13	No	No
A6NDG6	PGP	7.183808326564	6.31154682023788e-18	No	No
A6NDU8	C5orf51	5.61367945964093	8.2316593375537e-18	No	No
A6NFX1	MFSD2B	4.80570933802729	2.0815715159147398e-11	No	No
A6NHL2	TUBAL3	12.1402950681476	9.98856550604698e-32	No	No
A6QL63	BTBD11	6.41298598610339	2.7455464482527102e-15	No	No
A7E2V4	ZSWIM8	4.85311566490106	1.59442753390646e-13	No	No
A7KAX9	ARHGAP32	3.44300007879564	1.1860704152521e-06	No	No
A8MXV4	NUDT19	3.09481405682154	4.11673995339983e-10	No	No
A9UHW6	MIF4GD	3.54548846196151	6.83272804030536e-07	No	No
B0I1T2	MYO1G	4.58591653551053	1.54672651968517e-12	No	No
B2RUZ4	SMIM1	7.89647791741662	2.05464121224473e-25	No	No
B9EJG8	TMEM150C	2.54317932480094	2.54713867559616e-09	No	No
C9J7I0	UMAD1	2.19928160240822	5.50800182506619e-07	No	No
E9PAV3	NACA	9.84364061889955	1.58259818164147e-30	No	No
O00116	AGPS	10.1783253938242	3.95912533186315e-28	No	No
O00139	KIF2A	8.69819130010789	1.32156796408712e-21	No	No
O00151	PDLIM1	5.98883347996362	9.40483873471236e-19	No	No
O00154	ACOT7	9.98363068679774	4.14062637651994e-20	No	No
O00159	MYO1C	9.91245558090429	2.0603986082122e-27	No	No
O00160	MYO1F	5.54966174769482	1.8346475141002602e-09	No	No
O00161	SNAP23	6.30107087968074	2.90610385225898e-24	No	No
O00170	AIP	7.28219849156727	4.70971760832061e-20	No	No
O00178	GTPBP1	6.49947827053504	3.66311767966634e-14	No	No
O00182	LGALS9	7.63558442048545	5.54676374405389e-28	No	No
O00186	STXBP3	9.14637982272347	2.42204439810161e-24	No	No
O00187	MASP2	5.24339584165714	5.004414675383271e-19	No	No
O00189	AP4M1	2.68359936356682	2.77121855798956e-06	No	No
O00194	RAB27B	8.01701386688875	2.96777241969758e-27	No	No
O00203	AP3B1	9.1740595396347	3.64328865228753e-28	No	No
O00214	LGALS8	4.95767465768865	1.05223325139299e-13	No	No
O00217	NDUFS8	8.03150410219987	5.27227128730986e-27	No	No
O00231	PSMD11	11.4095445471065	1.33524338014485e-31	No	No
O00232	PSMD12	8.45795339563513	7.9165452011553e-17	No	No
O00233	PSMD9	6.96297708788122	2.68204724441739e-14	No	No
O00244	ATOX1	2.79788673961209	8.22948809843924e-08	No	No
O00264	PGRMC1	5.58295554451038	1.10432070161856e-16	No	No
O00273	DFFA	2.41858907722027	4.34849134146358e-07	No	No
O00299	CLIC1	5.1922591444452	1.8421296425557697e-18	No	No
O00303	EIF3F	10.250950712044	6.518935380177319e-30	No	No
O00330	PDHX	7.24233094908254	1.6183575766839701e-15	No	No
O00339	MATN2	7.91966207483088	1.96287064103644e-12	No	No
O00399	DCTN6	6.62687381823028	8.244208591289e-15	No	No
