Protein_Group	Genes	SAX_22001_M3_vs_RAW_22001_M3_logFC	SAX_22001_M3_vs_RAW_22001_M3_pval	Removed?	Contaminant?
A0A075B6J2	IGLV2-33	4.91096503764768	1.60257850505965e-15	No	No
A0A075B6J9	IGLV2-18	2.38347571880211	0.0001059646332133	No	No
A0A075B6K0	IGLV3-16	2.58787323495291	5.3141131886403e-07	No	No
A0A0B4J1V1	IGHV3-21	5.6811006413569	9.36443830753897e-18	No	No
A0A0C4DH33	IGHV1-24	4.76293124978831	1.2199287457013201e-15	No	No
A0A0C4DH39	IGHV1-58	3.8713354676763	7.71389311260368e-07	No	No
A0AVT1	UBA6	8.37235195369312	6.7502483687061505e-19	No	No
A0FGR8	ESYT2	10.8238276270227	3.11683142641039e-27	No	No
A0MZ66	SHTN1	2.24806013593263	0.00011549301315	No	No
A1A4S6	ARHGAP10	8.35688519304805	8.1083442734361e-22	No	No
A1L0T0	ILVBL	7.21570609970214	1.07946676027911e-14	No	No
A1L390	PLEKHG3	2.47265582542511	9.93082310131434e-08	No	No
A1L3X0	ELOVL7	7.5180821322241	2.57238074670351e-22	No	No
A1X283	SH3PXD2B	10.6908349095129	1.51653895510671e-30	No	No
A2RRP1	NBAS	8.51197483869406	4.10620868470175e-15	No	No
A2RTX5	TARS3	3.94627334212026	4.46829962283754e-10	No	No
A2RUS2	DENND3	11.074747132915	6.34129684519241e-24	No	No
A3KMH1	VWA8	6.63822292025492	1.82246210741984e-11	No	No
A4D1B5	GSAP	5.89969854326589	3.14528157846565e-23	No	No
A4D1P6	WDR91	3.70284147520479	3.9830834366761206e-09	No	No
A4UGR9	XIRP2	5.8724764170902	1.30936350768855e-17	No	No
A5D8V6	VPS37C	4.98828128228578	2.9956337510398298e-18	No	No
A5PLN9	TRAPPC13	3.3472624376959	5.1982312418751e-12	No	No
A5YKK6	CNOT1	6.92159832696543	3.71360580928575e-13	No	No
A6NDB9	PALM3	2.86292654562062	6.83880301477921e-05	No	No
A6NDG6	PGP	6.79519755519183	6.5068170350566e-17	No	No
A6NDU8	C5orf51	6.95958023650108	5.4110182989570195e-22	No	No
A6NFX1	MFSD2B	6.44728315400785	5.16450895317517e-16	No	No
A6NHL2	TUBAL3	12.7986036962168	5.92692868000815e-33	No	No
A6QL63	BTBD11	7.50612993984035	4.38851905931266e-18	No	No
A7E2V4	ZSWIM8	6.31415144892357	4.8943509511073895e-18	No	No
A7KAX9	ARHGAP32	4.48809301445884	2.18585226895004e-09	No	No
A8MXV4	NUDT19	3.73701884938971	1.00880577779317e-12	No	No
A9UHW6	MIF4GD	4.25153704689224	9.882773742402971e-09	No	No
B0I1T2	MYO1G	5.7701111778026	2.8982414069584004e-16	No	No
B1AKI9	ISM1	3.29241279522756	0.0012472797397544	No	No
B2RUZ4	SMIM1	8.02857647200756	8.984164177812701e-26	No	No
B9EJG8	TMEM150C	2.59917144659526	1.39587024295587e-09	No	No
E9PAV3	NACA	9.39972572726893	1.7795422995739e-29	No	No
O00116	AGPS	10.2226742172769	3.16514149805509e-28	No	No
O00139	KIF2A	7.44843249918981	1.43280932572098e-18	No	No
O00151	PDLIM1	6.5914110478841	1.3011789915026601e-20	No	No
O00154	ACOT7	10.2128247897861	1.47879234068392e-20	No	No
O00159	MYO1C	10.6307921987068	5.61834526923177e-29	No	No
O00160	MYO1F	5.77092144808327	6.08930681543625e-10	No	No
O00161	SNAP23	6.06801439601513	1.8132450049862702e-23	No	No
O00170	AIP	5.95396176773243	2.62085577166824e-16	No	No
O00178	GTPBP1	6.99011426321325	2.28964713716384e-15	No	No
O00182	LGALS9	7.71273490112975	3.30729034674647e-28	No	No
O00186	STXBP3	10.0145802693552	2.68189403310095e-26	No	No
O00187	MASP2	5.25319881593287	4.60998107303718e-19	No	No
O00189	AP4M1	5.28945124904899	1.17801473892513e-14	No	No
O00194	RAB27B	7.85232192644657	8.51837550344627e-27	No	No
O00203	AP3B1	9.42862991551754	8.86316318804963e-29	No	No
O00214	LGALS8	5.84320110876007	1.87039428172138e-16	No	No
O00217	NDUFS8	8.75049252265365	6.45658306618661e-29	No	No
O00231	PSMD11	11.4312722045048	1.20673562390017e-31	No	No
O00232	PSMD12	8.52418696586962	5.73783222537833e-17	No	No
O00233	PSMD9	8.62030563923559	5.1251732803977e-18	No	No
O00244	ATOX1	2.32949139477297	3.85524809125248e-06	No	No
O00258	GET1	8.45583438920032	9.03181376829735e-07	No	No
