Protein_Group	Genes	SAX_42001_B_vs_RAW_42001_B_logFC	SAX_42001_B_vs_RAW_42001_B_pval	Removed?	Contaminant?
A0A0C4DH33	IGHV1-24	3.09022410545852	4.30131510618664e-08	No	No
A0A0G2JMI3	IGHV1-69-2	2.89773301434002	1.79882983415411e-07	No	No
A0AVT1	UBA6	7.85709907110683	1.00708764682421e-15	No	No
A0FGR8	ESYT2	7.09493532182892	1.72365354619395e-16	No	No
A1A4S6	ARHGAP10	8.413088297985	9.87596658446142e-20	No	No
A1L0T0	ILVBL	7.34614324545146	3.36733201841911e-13	No	No
A1L390	PLEKHG3	4.01058906827546	2.46617745602675e-12	No	No
A1L3X0	ELOVL7	6.07621660113887	3.97775334357127e-16	No	No
A1X283	SH3PXD2B	9.06367652233689	2.02747762939481e-24	No	No
A2A2Y4	FRMD3	4.42604931021399	3.63361741302967e-05	No	No
A2RRP1	NBAS	8.80484161215051	7.65535334253592e-14	No	No
A2RTX5	TARS3	4.70477554613217	6.499800497489909e-11	No	No
A2RUS2	DENND3	10.084511098284	9.34685278705513e-20	No	No
A3KMH1	VWA8	3.92895116788059	4.80037218211222e-05	No	No
A4D1B5	GSAP	6.27069138396236	3.4976388176405496e-22	No	No
A4D1P6	WDR91	4.36069823412442	9.504180641952741e-10	No	No
A4UGR9	XIRP2	6.03061910427979	4.33665229376024e-16	No	No
A5D8V6	VPS37C	5.45034920362819	8.0010121421201e-18	No	No
A5PLN9	TRAPPC13	3.00970051046983	3.6379361334842103e-09	No	No
A5YKK6	CNOT1	7.18497205200301	4.747341328743499e-12	No	No
A6NDG6	PGP	5.43429016046442	1.52194827610728e-11	No	No
A6NDU8	C5orf51	4.09023184295232	6.07338032873273e-11	No	No
A6NFX1	MFSD2B	5.68899436818871	3.19272480129558e-12	No	No
A6NHL2	TUBAL3	6.10272555814466	2.48524813048597e-15	No	No
A7E2V4	ZSWIM8	6.98906429515887	7.50196153827308e-18	No	No
A7KAX9	ARHGAP32	3.52766320670594	6.2662838072992e-06	No	No
A8MXV4	NUDT19	5.17192582489698	3.3907703768467497e-16	No	No
A9UHW6	MIF4GD	4.4551966350405	4.97049672691087e-08	No	No
B0I1T2	MYO1G	4.10004984773361	1.5891939514783202e-09	No	No
B2RUZ4	SMIM1	4.31979839729098	3.20901363012215e-12	No	No
E9PAV3	NACA	9.23356519591328	1.3734997655749002e-26	No	No
O00116	AGPS	10.6557573425356	1.1327843589106699e-26	No	No
O00139	KIF2A	4.18488492923898	2.71805946012218e-08	No	No
O00151	PDLIM1	4.01953184325693	1.60063838976553e-10	No	No
O00154	ACOT7	7.70074134381496	1.56388233625747e-13	No	No
O00159	MYO1C	6.082246363464	1.7462416801623e-15	No	No
O00161	SNAP23	4.68563605708587	2.66738672225088e-16	No	No
O00170	AIP	7.24179999115884	7.963699489225129e-18	No	No
O00178	GTPBP1	6.43185663948813	2.76894965796607e-12	No	No
O00182	LGALS9	6.8948684878186	2.3371091586498102e-23	No	No
O00186	STXBP3	5.10244868429955	8.80528319536647e-12	No	No
O00187	MASP2	3.60263247949278	5.0219603473732495e-11	No	No
O00189	AP4M1	3.91328380183364	6.8784229908057705e-09	No	No
O00194	RAB27B	5.45887756351218	3.45803485906851e-17	No	No
O00203	AP3B1	5.37466920100834	2.8417041699634904e-15	No	No
O00214	LGALS8	5.56021614623679	9.39023363175834e-14	No	No
O00217	NDUFS8	8.73545969584334	2.1253518584575e-26	No	No
O00231	PSMD11	7.25968800911408	1.6333948800294999e-19	No	No
O00232	PSMD12	3.11301273668937	0.0003249881751255	No	No
O00233	PSMD9	6.20424997604635	6.29497042766017e-11	No	No
O00264	PGRMC1	5.11342007350695	2.33922557308487e-13	No	No
O00273	DFFA	2.76931593435694	2.58879591364306e-07	No	No
O00299	CLIC1	3.38469191316039	5.95958096341362e-10	No	No
O00303	EIF3F	8.76714471076233	5.12891424100785e-24	No	No
O00330	PDHX	8.62704140749586	1.2748625207372199e-16	No	No
O00339	MATN2	7.20239794006319	1.19930871433081e-09	No	No
O00399	DCTN6	7.77179474085171	1.2897421994054702e-15	No	No
O00400	SLC33A1	5.63486012159196	7.29239571383542e-20	No	No
O00408	PDE2A	6.49988685059272	4.25476511520935e-09	No	No
O00410	IPO5	6.99237037522287	3.52655938781901e-16	No	No
O00425	IGF2BP3	5.74537907486218	2.8035338320095697e-18	No	No
O00429	DNM1L	4.49666650980503	2.37029595642385e-08	No	No
O00442	RTCA	6.91458458871109	1.91549368618196e-13	No	No
O00443	PIK3C2A	2.96674003386603	0.0002912862720589	No	No
O00453	LST1	3.62010313634967	7.58745752561153e-09	No	No
O00461	GOLIM4	8.41917493942404	7.86413093714606e-25	No	No
O00468	AGRN	4.88201225518486	2.25493803585537e-13	No	No
O00469	PLOD2	8.3721751768997	7.84487703576162e-08	No	No
O00471	EXOC5	7.4346722318563	1.4979901676581e-13	No	No
O00483	NDUFA4	5.59068701734606	3.27048095739791e-13	No	No
O00487	PSMD14	5.12385817074013	4.93607068430572e-17	No	No
O00499	BIN1	7.0657197649492	2.47750444169682e-16	No	No
O00501	CLDN5	5.35276225246279	6.272991675152741e-15	No	No
