Protein_Group	Genes	SAX_72001_M3_vs_RAW_72001_M3_logFC	SAX_72001_M3_vs_RAW_72001_M3_pval	Removed?	Contaminant?
A0A0B4J2D5;P0DPI2	GATD3A;GATD3B	7.8984916622511	2.2701123135288e-08	No	No
A0A0C4DH55	IGKV3D-7	3.5121467511358	0.0036389324542871	No	No
A0AVT1	UBA6	5.98142354887875	2.33365072532387e-07	No	No
A0FGR8	ESYT2	7.77497415309122	4.66633601272786e-13	No	No
A1A4S6	ARHGAP10	4.30861806265312	0.0004329451921528	No	No
A1L0T0	ILVBL	3.4393979649469	0.0002649678153641	No	No
A1L3X0	ELOVL7	2.75804241492835	0.0028831253291639	No	No
A1X283	SH3PXD2B	9.77801818205701	2.7070488190927497e-11	No	No
A2NJV5	IGKV2-29	4.87705974250744	1.11080621932348e-08	No	No
A2RRP1	NBAS	4.87440947094501	9.70506138959115e-05	No	No
A2RTX5	TARS3	2.6897275611391	0.0069318962846012	No	No
A2RUS2	DENND3	6.6509144559085	4.82563393498838e-08	No	No
A4D1B5	GSAP	4.49678852475917	3.50979351769881e-06	No	No
A4D1S0	KLRG2	6.96045476858363	3.53969536221454e-07	No	No
A5D8V6	VPS37C	4.22832261438125	4.61222108511262e-05	No	No
A5YKK6	CNOT1	4.67899813035628	5.54050437089904e-05	No	No
A6NDG6	PGP	5.5662965741132	5.69603027152473e-07	No	No
A6NDU8	C5orf51	4.24535027789187	3.13123372772866e-05	No	No
A6NHL2	TUBAL3	9.2970545362472	9.104766364588409e-12	No	No
A6QL63	BTBD11	4.46715664218221	2.05527238901675e-05	No	No
A9UHW6	MIF4GD	4.59800487867918	8.95179239681116e-05	No	No
B0I1T2	MYO1G	5.26422617366596	9.37593196440624e-07	No	No
B2RUZ4	SMIM1	6.25493762969272	2.2747757900073503e-09	No	No
B5ME19;Q99613	EIF3C;EIF3CL	5.57286522170414	4.69049664730976e-06	No	No
B9EJG8	TMEM150C	2.51956427925985	0.0053691175101677	No	No
C4AMC7;Q6VEQ5	WASH2P;WASH3P	4.94676440107171	4.38599001136157e-06	No	No
E9PAV3	NACA	8.03075669310448	1.2107128796996901e-15	No	No
O00116	AGPS	7.07441013107748	4.8097012122254594e-11	No	No
O00139	KIF2A	5.21387223479024	1.9620803988425e-06	No	No
O00151	PDLIM1	2.0984932135963	0.0043262639778467	No	No
O00154	ACOT7	7.04957785035462	2.08868539747276e-07	No	No
O00159	MYO1C	7.27959814024661	1.10311684903067e-07	No	No
O00170	AIP	4.58771230073141	0.0003808743969105	No	No
O00178	GTPBP1	4.03503306833368	4.3207191946205e-05	No	No
O00186	STXBP3	6.59190488058702	1.55967303548675e-06	No	No
O00187	MASP2	3.95827594639729	6.010105643285051e-09	No	No
O00194	RAB27B	4.51633813906934	8.50353771097712e-08	No	No
O00203	AP3B1	7.05824923406447	3.81623608000409e-12	No	No
O00217	NDUFS8	5.02071856699001	2.22739803754401e-06	No	No
O00231	PSMD11	8.25398232576114	6.16045804563819e-12	No	No
O00232	PSMD12	6.92749186950437	3.89664553970276e-10	No	No
O00233	PSMD9	3.72184256112344	0.0003070885348136	No	No
O00244	ATOX1	2.51843072369377	0.006291251471475	No	No
O00303	EIF3F	6.92735413244698	3.00787041790557e-09	No	No
O00330	PDHX	5.50108767348556	7.47077640444698e-07	No	No
O00339	MATN2	3.75672403920614	0.0012332504904019	No	No
O00399	DCTN6	5.16643780400104	4.45876646031148e-06	No	No
O00400	SLC33A1	3.36188849423194	0.000824264763817	No	No
