Protein_Group	Genes	TRM_day30_vs_MoMacs_day30_logFC	TRM_day30_vs_MoMacs_day30_pval	Removed?	Contaminant?
A2ASS6	Ttn	3.06215386768273	0.0033998512118907	No	No
O09043	Napsa	2.79426744331655	2.46211992927489e-06	No	No
O55137	Acot1	7.88607546425535	1.48539659761685e-08	No	No
P12710	Fabp1	9.43936358910496	1.81262251998658e-16	No	No
P16406	Enpep	4.07270802203617	0.0003453270146927	No	No
P50405	Sftpb	6.17570274108142	1.54471006492314e-12	No	No
P85094	Isoc2a	4.07462662611171	0.0016318083116086	No	No
Q00493	Cpe	3.67602978085345	7.74159532829383e-05	No	No
Q5SQ27	Sec14l3	5.0910115500772	1.28413899745512e-06	No	No
Q5SVL6	Rap1gap2	2.78938869188782	0.000586348159909	No	No
Q60767	Ly75	2.57706033405886	0.0045443792391254	No	No
Q61503	Nt5e	2.80587649226289	0.0009538616593124	No	No
Q6PHU5	Sort1	2.91700053783981	0.0016152582039326	No	No
Q810A7	Ddx42	4.91653266553783	0.0032489642887508	No	No
Q91XA9	Chia	5.42596380164383	1.03587685388462e-10	No	No
Q99J08	Sec14l2	4.77909675444625	2.38254883437655e-07	No	No
Q9R257	Hebp1	2.93536420618506	0.0034446338210992	No	No
Q9Z0J0	Npc2	2.34360006087977	0.0034298358092976	No	No
A0A0U1RNF2	Lcmt1	-3.91386512995728	0.0005877116638477	No	No
A2A432	Cul4b	-3.1823673055584	0.0022401167633545	No	No
A2A4P0	Dhx8	-3.2926105492007	0.0052780290138993	No	No
A2AGT5	Ckap5	-5.07251225869253	0.0015389003479332	No	No
A2AIV2	Virma	-4.6215169642555	1.33372802830615e-05	No	No
A2AN08	Ubr4	-6.31985120118404	3.8131852418144e-05	No	No
A2AQ19	Rtf1	-3.17593517173168	0.0044180549094386	No	No
A2AR02	Ppig	-3.28826330480466	0.0019410706204486	No	No
A2BH40	Arid1a	-3.88487160314667	0.0004809548605866	No	No
A3KGF7	Plcb2	-3.45777303308951	0.0050782906238883	No	No
A3KMP2	Ttc38	-2.81834640224098	0.0051389985820959	No	No
B1AUN2	Eif2b3	-4.11073835769256	0.0002164327707644	No	No
B1AY13	Usp24	-3.4427965799593	0.000196409360971	No	No
B2RV77	Cstdc4	-5.29100636924534	8.09962747332243e-07	No	No
B2RXR6	Ankrd44	-3.36000400675358	0.0007815596699102	No	No
D3YXK2	Safb	-3.03060497896333	0.0017254166081464	No	No
D3Z0M9	Ddx23	-2.43292067648049	0.0050940948663624	No	No
D4AFX7	Dnajc13	-4.31206917251382	0.0006699742350454	No	No
E9PVA8	Gcn1	-3.80338843738128	0.0063736540049414	No	No
E9PWG6	Ncapg	-2.97639557393364	0.0060577858309079	No	No
E9PY16	Adap1	-5.94610397903421	4.34220995891289e-10	No	No
E9Q2M9	Wdfy4	-3.7502467667248	2.38166323420755e-05	No	No
E9Q4P1	Wdfy1	-7.75167751662901	2.85386024836794e-07	No	No
E9Q555	Rnf213	-6.29641880242041	8.12430448252917e-08	No	No
E9Q634	Myo1e	-3.68243808521563	0.0082827865943604	No	No
E9Q735	Ube4a	-3.66164022385928	0.0037520610087081	No	No
E9Q7G0	Numa1	-3.65938817629698	0.0044246039456176	No	No
E9Q912	Rap1gds1	-2.3818155262871	0.0094342394362751	No	No
F6ZDS4	Tpr	-3.8055820455814	0.0025949625089753	No	No
F8VPN4	Agl	-3.36563011680226	0.0016387172402956	No	No
F8VQ05	Fryl	-2.75574086429603	0.0014694637254938	No	No
F8VQC1	Srp72	-5.13172237983069	0.0001396266292505	No	No
G3X8U3	2210016F16Rik	-2.29483399319053	0.0072469528857041	No	No
G5E8V9	Arfip1	-3.27785447564052	0.0028010957444343	No	No
O08528	Hk2	-4.40481877622043	0.0076914705391888	No	No
O08539	Bin1	-4.55720758389889	3.95856261179514e-08	No	No
O08573	Lgals9	-5.46336129689038	1.56030324241976e-07	No	No
O08582	Gtpbp1	-3.97524467113068	0.0011074979199307	No	No
O08583	Alyref	-2.31093186693436	0.008708644540682	No	No
O08585	Clta	-2.45312837212072	0.0065658565173015	No	No
O08692	Ngp	-7.82742012686479	9.48044220793785e-14	No	No
O08709	Prdx6	-2.47334567432314	0.0094767108866093	No	No
O08784	Tcof1	-3.76719856354782	3.96811816447637e-05	No	No
